,sentence,DA_tag
28230,Yeah,accept
28231,Um,accept
28232,Uh huh,accept
28233,Yeah,accept
28234,Uh huh,accept
28235,Yeah,accept
28236,Uh,accept
28237,Uh huh,accept
28238,Yeah,accept
28239,"What 's the name of the star of the cooking show , `` Galloping Gourmet '' ?",wh-question
28240,Uh huh,accept
28241,Uh huh,accept
28242,Uh huh,accept
28243,What would happen to Canada if Quebec separated ?,wh-question
28244,Yeah,accept
28245,Yeah,accept
28246,I think two,reject
28247,uh yeah,accept
28248,Uh huh,accept
28249,Uh huh,accept
28250,Right,accept
28251,Yes,accept
28252,What do you teach,wh-question
28253,Uh yes,accept
28254,Uh huh,accept
28255,Yeah,accept
28256,Right,accept
28257,Right,accept
28258,Okay,farewell
28259,uh huh,accept
28260,Uh huh,accept
28261,How much time do you spend with your children,wh-question
28262,What Kennedy was married to Ethel ?,wh-question
28263,What was the name of the 187s Irish terrorist group in Pennsylvania mining areas ?,wh-question
28264,Uh huh,accept
28265,Uh huh,accept
28266,No,accept
28267,What did you wear to work today,wh-question
28268,Yeah,accept
28269,Yeah,accept
28270,Uh huh,accept
28271,Yeah,accept
28272,Uh huh,accept
28273,How many frames does a disk camera shoot ?,wh-question
28274,How much money are Dumbo 's ears insured for ?,wh-question
28275,How can I find out my biorhythm ?,wh-question
28276,Really,farewell
28277,Good night,farewell
28278,Well same here,farewell
28279,yeah,accept
28280,Yeah,accept
28281,Uh huh,accept
28282,Uh huh,accept
28283,R right,accept
28284,Yeah,accept
28285,Yeah,accept
28286,Uh huh,accept
28287,Uh huh,accept
28288,yes,accept
28289,Who is Colin Powell ?,wh-question
28290,Yeah,accept
28291,Yeah,accept
28292,Yeah,accept
28293,Uh huh,accept
28294,Uh huh,accept
28295,Yeah,accept
28296,Um yeah,accept
28297,Hi very faint,greeting
28298,Yeah,accept
28299,Uh huh,accept
28300,Laughter Okay,accept
28301,Been uh good talking to you,farewell
28302,Yeah,accept
28303,Uh huh,accept
28304,Uh huh,accept
28305,Yeah,accept
28306,Right,accept
28307,Uh huh,accept
28308,What what do you think can prevent crime,wh-question
28309,Right,accept
28310,Yeah,accept
28311,What are your m music interests,wh-question
28312,Uh huh,accept
28313,Uh huh,accept
28314,Uh huh,accept
28315,Huh,accept
28316,Yeah,accept
28317,and um my husband is a ham radio operator,farewell
28318,right,accept
28319,What city has a newspaper called The Plain Dealer ?,wh-question
28320,And I just,farewell
28321,Oh,accept
28322,So uh sigh well I um I have enjoyed talking with you,farewell
28323,yeah,accept
28324,Uh huh,accept
28325,Uh huh,accept
28326,Uh huh,accept
28327,Uh huh,accept
28328,Yeah,accept
28329,Uh huh,accept
28330,Uh huh,accept
28331,Oh yeah,accept
28332,Oh,accept
28333,Uh huh,accept
28334,Why is hockey so violent ?,wh-question
28335,Yeah,accept
28336,Laughter Yeah,accept
28337,Uh huh,accept
28338,Right,accept
28339,Uh huh,accept
28340,Yeah,accept
28341,How does the speed the magnet spins in a generator affect the output of the generator ?,wh-question
28342,Yeah,accept
28343,Yeah,accept
28344,Okay,accept
28345,What does RCA stand for ?,wh-question
28346,Yeah,accept
28347,Right,accept
28348,Uh huh,accept
28349,Uh huh,accept
28350,yeah,accept
28351,What do you read,wh-question
28352,Uh huh,accept
28353,Yeah,accept
28354,Yeah,farewell
28355,"What Scandinavian country covers 173 , 732 square miles ?",wh-question
28356,Yeah,accept
28357,Um,accept
28358,Yeah,accept
28359,Uh huh,accept
28360,Yeah,accept
28361,Barking Uh huh,accept
28362,Uh,accept
28363,Yeah,accept
28364,Uh huh,accept
28365,Uh huh,accept
28366,Uh huh,accept
28367,Uh huh,accept
28368,Oh uh huh,accept
28369,Yeah,accept
28370,Uh huh,accept
28371,Yeah,accept
28372,Well thank you very much,farewell
28373,Yeah,accept
28374,Uh huh,accept
28375,Um,accept
28376,Yeah laughter,accept
28377,Uh huh,accept
28378,Yeah,accept
28379,Huh,accept
28380,Uh huh,accept
28381,What 's the most popular contact lens color ?,wh-question
28382,Yes,accept
28383,Who was the founding member of the Pink Floyd band ?,wh-question
28384,Yeah,accept
28385,Yeah,accept
28386,Yeah,accept
28387,Yeah,accept
28388,Uh huh,accept
28389,Uh huh,accept
28390,Uh huh,accept
28391,Right,accept
28392,Yeah,accept
28393,Who was the 15th century fire-and-brimstone monk who gained control of Florence but ended burnt at the stake ?,wh-question
28394,What is Toulmin logic ?,wh-question
28395,Right,accept
28396,Uh huh,accept
28397,Right,accept
28398,Uh huh,accept
28399,Bye bye,farewell
28400,Uh huh,accept
28401,Oh yeah,accept
28402,Uh huh,accept
28403,Uh huh,accept
28404,Right,accept
28405,Oh,accept
28406,Laughter Yeah,accept
28407,Laughter Yeah,accept
28408,Yeah,accept
28409,Oh yeah,accept
28410,Yeah,accept
28411,Okay laughter,accept
28412,Yeah,accept
28413,Yeah,accept
28414,What fast-food magnate 's initials graced the left sleeve of the San Diego Padres ' baseball uniforms in 1984 ?,wh-question
28415,Uh huh,accept
28416,Uh huh,accept
28417,Uh huh,accept
28418,Uh huh,accept
28419,Uh huh,accept
28420,Okay,farewell
28421,Huh,accept
28422,Work in pairs.,imperative
28423,Yes,accept
28424,Uh huh,accept
28425,Yeah,accept
28426,Uh huh,accept
28427,Uh huh,accept
28428,Yeah,accept
28429,Oh yeah,accept
28430,TV Hi Wanet this is his last name,greeting
28431,Uh huh,accept
28432,Uh huh,accept
28433,Yeah,accept
28434,Yeah,accept
28435,Yeah,accept
28436,Uh huh,accept
28437,Uh huh,accept
28438,Yeah,accept
28439,Oh,accept
28440,Yeah,accept
28441,What do they what do they do in Maryland,wh-question
28442,thanks,farewell
28443,Uh huh,accept
28444,Yes,accept
28445,Uh huh,accept
28446,Uh huh,accept
28447,Yeah,accept
28448,What king boycotted Prince Charles 's wedding ?,wh-question
28449,Uh huh,accept
28450,Yeah,accept
28451,Yeah,accept
28452,yeah,accept
28453,Uh huh,accept
28454,uh huh,accept
28455,I m in Dallas,greeting
28456,It was nice talking to you,farewell
28457,No,reject
28458,What are the five most popular Usenet groups ?,wh-question
28459,Uh huh,accept
28460,Yeah,accept
28461,Huh,accept
28462,oh no,farewell
28463,Uh huh,accept
28464,Laughter Yeah,accept
28465,Uh huh,accept
28466,How many people did Randy Steven Craft murder ?,wh-question
28467,Right,accept
28468,What kinds of animals are in Cambodia ?,wh-question
28469,Yeah,accept
28470,Yeah,accept
28471,Uh huh,accept
28472,That is beautiful where you are at,farewell
28473,Uh huh,accept
28474,Yeah,accept
28475,Yeah,accept
28476,Uh huh,accept
28477,Yeah,accept
28478,Uh huh,accept
28479,Reboot the router,imperative
28480,Uh huh,accept
28481,Okay,accept
28482,You too,farewell
28483,Uh huh,accept
28484,uh huh,accept
28485,Uh huh,accept
28486,What does Knight Ridder publish ?,wh-question
28487,Yeah,accept
28488,Uh huh,accept
28489,Uh huh,accept
28490,Uh huh,accept
28491,Uh huh,accept
28492,Uh huh,accept
28493,Yeah,accept
28494,Right,accept
28495,unmute the device,imperative
28496,Bye bye,farewell
28497,uh huh,accept
28498,I see,accept
28499,Right,accept
28500,Uh huh,accept
28501,Uh huh,accept
28502,What is it that you are you know particularly upset about,wh-question
28503,Uh huh,accept
28504,Yeah,accept
28505,Oh,accept
28506,Uh huh,accept
28507,What should you yell to hail a taxi in Madrid ?,wh-question
28508,Uh huh,accept
28509,You do the same,farewell
28510,Uh huh,accept
28511,And yeah,accept
28512,What company uses the unfamiliar faces of its celebrity spokespeople to promote the use of its product ?,wh-question
28513,Yeah,accept
28514,What Pulitzer Prize-winning novelist ran for mayor of New York City ?,wh-question
28515,Throat_clearing Uh huh,accept
28516,"What TV comedian worked with White Fang , Black Tooth and Pookie the Lion ?",wh-question
28517,Oh sure,accept
28518,Uh huh laughter,accept
28519,Yeah,accept
28520,yeah,accept
28521,Uh huh,accept
28522,Oh okay,farewell
28523,Yeah,accept
28524,When was the NFL established ?,wh-question
28525,Uh huh,accept
28526,Yeah,farewell
28527,Uh huh,accept
28528,Okay,accept
28529,Okay,accept
28530,Uh huh,accept
28531,Nice talking with you Craig,farewell
28532,Yeah,accept
28533,Yeah,accept
28534,yeah,accept
28535,bye bye,farewell
28536,Well in a way it is,accept
28537,Uh huh See B 22 note,accept
28538,No,accept
28539,So Yeah,accept
28540,pass the bowl of potatoes,imperative
28541,Yeah,accept
28542,Yeah,accept
28543,Uh huh,accept
28544,Sure,accept
28545,Oh okay,accept
28546,What is humidity ?,wh-question
28547,Uh,accept
28548,Uh huh,accept
28549,Uh huh,accept
28550,Yeah,accept
28551,Sniffing Uh huh,accept
28552,Uh huh,accept
28553,What is the deepest area of the Arctic Ocean ?,wh-question
28554,uh huh,accept
28555,What colors make up a rainbow ?,wh-question
28556,Yeah,accept
28557,Uh huh,accept
28558,Uh huh,accept
28559,Right,accept
28560,Yeah,accept
28561,Oh okay,accept
28562,Right,accept
28563,Uh huh,accept
28564,Uh huh,accept
28565,Yeah,accept
28566,Yeah,accept
28567,Uh huh,accept
28568,please lower your voice,imperative
28569,Yes,accept
28570,Uh huh,accept
28571,Yeah,accept
28572,Yes,accept
28573,Yeah,accept
28574,What is the name of the country which Hitler ruled ?,wh-question
28575,Uh huh,accept
28576,well no,reject
28577,When were fish first believed to be found on earth ?,wh-question
28578,Uh huh,accept
28579,Yeah,accept
28580,Yeah,accept
28581,Yeah,accept
28582,Uh huh,accept
28583,Uh huh,accept
28584,Oh yeah,accept
28585,How do you like it,wh-question
28586,Right,accept
28587,Yeah,accept
28588,huh,accept
28589,Uh huh,accept
28590,Right,accept
28591,When did the vesuvius last erupt ?,wh-question
28592,Yeah,accept
28593,Uh huh,accept
28594,All right,farewell
28595,Uh huh,accept
28596,Uh huh,accept
28597,Uh huh,accept
28598,Yeah,accept
28599,laughter Uh huh,accept
28600,Uh huh,accept
28601,Oh,accept
28602,What excuse did the NATO people give for hitting the Chinese embassy ?,wh-question
28603,Right,accept
28604,Yeah,accept
28605,Yeah,accept
28606,Uh huh,accept
28607,I see,accept
28608,Really,accept
28609,some kind of chemicals in there too,reject
28610,Uh huh,accept
28611,Yeah,accept
28612,How many sperm cells are in an average ejaculation ?,wh-question
28613,Yeah,accept
28614,Um,accept
28615,What percentage of American men are alcoholic ?,wh-question
28616,oh yeah,accept
28617,Yes,accept
28618,Take care,farewell
28619,Uh huh,accept
28620,Yeah,accept
28621,okay,accept
28622,Okay,accept
28623,Uh huh,accept
28624,Yeah,accept
28625,right,accept
28626,Uh huh,accept
28627,Uh huh,accept
28628,Yeah,accept
28629,What 's the most common street name in America ?,wh-question
28630,Laughter What kind of a car do you have now,wh-question
28631,Yeah,accept
28632,Uh huh,accept
28633,Right,accept
28634,Yeah,accept
28635,uh huh,accept
28636,Look away!,imperative
28637,Uh huh,accept
28638,Uh huh,accept
28639,Yeah,accept
28640,Uh those are,reject
28641,How much did the minimum wage amount to in 1991 ?,wh-question
28642,Yeah,accept
28643,and who s the other big guy,wh-question
28644,Uh huh,accept
28645,Yeah,accept
28646,Uh huh,accept
28647,Uh huh,accept
28648,"What country claimed Rubens , Van Dyck and Bruegel as citizens ?",wh-question
28649,Uh huh,accept
28650,Yeah,accept
28651,Uh huh,accept
28652,Yeah,accept
28653,Uh huh,accept
28654,yeah,accept
28655,Uh huh,accept
28656,Uh huh,accept
28657,Yeah,accept
28658,Hello,greeting
28659,right,accept
28660,Uh huh,accept
28661,Yeah,accept
28662,It was good talking to you,farewell
28663,uh huh,accept
28664,Uh huh,accept
28665,Uh huh,accept
28666,Bye bye,farewell
28667,Uh huh,accept
28668,Yeah,accept
28669,Yeah,accept
28670,Uh huh,accept
28671,and yeah,accept
28672,Yeah,accept
28673,Uh huh,accept
28674,Uh huh,accept
28675,A while,accept
28676,Uh huh,accept
28677,What are the benefits of home school ?,wh-question
28678,Yeah,accept
28679,Uh huh,accept
28680,Yeah,accept
28681,Yeah,accept
28682,How can I transport files from one computer to another ?,wh-question
28683,Yeah,accept
28684,Uh huh,accept
28685,Yeah,accept
28686,What first name was Nipsy Russell given at birth ?,wh-question
28687,Yeah,accept
28688,So what are some good things in Texas to go visit,wh-question
28689,Yeah,accept
28690,Yeah,accept
28691,Right,accept
28692,Right,accept
28693,Uh huh,accept
28694,Uh huh,accept
28695,Uh huh,accept
28696,Uh huh,accept
28697,Uh huh,accept
28698,laughter Um okay,accept
28699,Uh huh,accept
28700,Yeah,accept
28701,Oh,accept
28702,Right,accept
28703,Uh huh,accept
28704,yeah,accept
28705,Yeah,accept
28706,Yeah,accept
28707,Yeah,accept
28708,Yeah,accept
28709,Oh yeah,accept
28710,Right,accept
28711,Oh,accept
28712,Yeah,accept
28713,"What sun-blasted , 14-mile wide valley is just north of the Mojave desert ?",wh-question
28714,What is platinum ?,wh-question
28715,Right,accept
28716,Um,accept
28717,Uh huh,accept
28718,Uh huh,accept
28719,well thanks,farewell
28720,Right,accept
28721,Yeah,accept
28722,Yeah,accept
28723,Yeah,accept
28724,Well yes,reject
28725,Uh huh,accept
28726,Okay,accept
28727,Yeah,accept
28728,Yeah,accept
28729,Right,accept
28730,Uh Not really,reject
28731,Right,accept
28732,What 's a male witch called ?,wh-question
28733,Yeah,accept
28734,Okay,farewell
28735,Yes,accept
28736,How far away is the moon ?,wh-question
28737,Right,accept
28738,Uh huh,accept
28739,Yeah,accept
28740,Yes,accept
28741,Uh huh,accept
28742,Uh huh,accept
28743,but I I haven t specifically heard anything about that,reject
28744,Uh huh laughter,accept
28745,Uh huh,accept
28746,Yeah,accept
28747,Yeah,accept
28748,Uh huh,accept
28749,Uh huh,accept
28750,All right,farewell
28751,well thank you,farewell
28752,"How many times was pitcher , Warren Spahn , a 20-game winner in his 21 major league seasons ?",wh-question
28753,Uh huh,accept
28754,Oh,accept
28755,Uh huh,accept
28756,Uh huh,accept
28757,Bye,farewell
28758,Huh uh,accept
28759,Yeah,accept
28760,Uh huh,accept
28761,Yes,accept
28762,Uh huh,accept
28763,Oh,accept
28764,Uh huh,accept
28765,Oh yeah laughter,accept
28766,Uh huh,accept
28767,and now where are you in New York,wh-question
28768,Uh huh,accept
28769,Right,accept
28770,Yeah,accept
28771,Uh huh,accept
28772,Yeah,accept
28773,Right,accept
28774,Yeah,accept
28775,Uh huh,accept
28776,Yeah,accept
28777,uh huh,accept
28778,Oh yeah,accept
28779,Uh huh,accept
28780,Where have you gone first,wh-question
28781,Yeah,accept
28782,Uh yeah,accept
28783,What is the name of the vaccine for chicken pox ?,wh-question
28784,Uh huh,accept
28785,yeah,accept
28786,Uh,accept
28787,Uh huh,accept
28788,righ,accept
28789,Yeah,accept
28790,Yes,accept
28791,Yeah,accept
28792,Uh huh,accept
28793,Yeah,accept
28794,What is federal income tax ?,wh-question
28795,Yeah,accept
28796,I really,accept
28797,Noise Uh how much uh how much pork do you buy,wh-question
28798,Where can I find book reviews of `` Turbulent Souls '' ?,wh-question
28799,Yeah,accept
28800,Yeah,accept
28801,Yeah,accept
28802,so I d like to know um what what do you do in lawn and garden,wh-question
28803,Which Church is it,wh-question
28804,Uh huh,accept
28805,Yeah,accept
28806,Yeah,accept
28807,Right,accept
28808,Yeah,accept
28809,Uh huh,accept
28810,Uh huh,accept
28811,Oh,accept
28812,Yeah,accept
28813,Uh huh,accept
28814,Laughter Yeah,accept
28815,at least,accept
28816,"What baseball star turned down a $1 , 000-a-year contract because he felt he had n't earned it ?",wh-question
28817,Uh huh,accept
28818,What movie did Madilyn Kahn star in with Gene Wilder ?,wh-question
28819,Yeah,accept
28820,Yeah,accept
28821,Uh huh,accept
28822,Yeah,accept
28823,I hadn t,reject
28824,Uh huh,accept
28825,Yeah,accept
28826,Oh,accept
28827,Right,accept
28828,Uh huh,accept
28829,Uh huh,accept
28830,Uh huh,accept
28831,yeah,accept
28832,Oh yeah,accept
28833,Oh that s not bad,accept
28834,What is a fear of children ?,wh-question
28835,Uh huh,accept
28836,Name a Sioux language .,wh-question
28837,Uh huh,accept
28838,What Pope inaugurated Vatican International Radio ?,wh-question
28839,Name a South African diamond producer ?,wh-question
28840,Uh huh,accept
28841,Uh huh,accept
28842,Uh huh,accept
28843,Uh huh,accept
28844,Oh yeah,accept
28845,It was nice talking to you,farewell
28846,Uh huh,accept
28847,Uh huh,accept
28848,Yeah,accept
28849,Uh huh,accept
28850,Yeah,accept
28851,Yes,accept
28852,yeah,accept
28853,Uh not every morning uh,reject
28854,Yeah,accept
28855,How do you buy stocks ?,wh-question
28856,Oh yeah,accept
28857,I was just wondering that laughter,farewell
28858,Yeah,accept
28859,Uh huh,accept
28860,Yeah,accept
28861,Uh huh,accept
28862,Right,accept
28863,Yeah,accept
28864,Yeah laughter,accept
28865,Uh huh,accept
28866,Yeah,accept
28867,Finish your JIRA tasks.,imperative
28868,Um um,accept
28869,Okay,accept
28870,Okay,accept
28871,yeah,accept
28872,Uh huh,accept
28873,Huh uh,accept
28874,Yeah,accept
28875,Uh huh,accept
28876,Yes,accept
28877,Uh huh,accept
28878,Huh,accept
28879,Yeah,accept
28880,Yeah,accept
28881,Yeah,accept
28882,Uh huh,accept
28883,Bye bye,farewell
28884,Inhaling Yeah,accept
28885,Uh huh,accept
28886,Uh huh,accept
28887,Uh huh,accept
28888,Uh huh,accept
28889,Yeah,accept
28890,Oh,accept
28891,Uh huh,accept
28892,Uh huh,accept
28893,Yeah,accept
28894,Uh huh,accept
28895,Which,wh-question
28896,Yeah,accept
28897,Yes,accept
28898,Oh sound drawn out,accept
28899,What U.S. state has the second-longest coastline ?,wh-question
28900,Uh huh,accept
28901,right,accept
28902,Uh huh,accept
28903,Yeah,accept
28904,Who is the president of Stanford University ?,wh-question
28905,Right,accept
28906,Breathing Well yeah,accept
28907,Yeah,accept
28908,right,accept
28909,"What household facility contains a float ball , ballcock , and overflow tube ?",wh-question
28910,Take me back to Switzerland.,imperative
28911,Uh huh,accept
28912,Yeah,accept
28913,Yeah,accept
28914,Uh huh,accept
28915,Uh huh,accept
28916,Yeah,accept
28917,yeah laughter,accept
28918,What well-known actor is the father of star Alan Alda ?,wh-question
28919,Yes,accept
28920,Uh huh,accept
28921,Uh huh,accept
28922,Yes,accept
28923,Yeah,accept
28924,Uh huh,accept
28925,Yeah,accept
28926,What is widely used to detect prenatal birth defects ?,wh-question
28927,Uh huh,accept
28928,Right,accept
28929,Uh huh,accept
28930,So how did that happen anyway,wh-question
28931,Uh huh,accept
28932,Yeah,accept
28933,Uh huh,accept
28934,Right,accept
28935,well um take care,farewell
28936,Yeah,accept
28937,How often do you uh uh go out each week on your walking,wh-question
28938,Uh huh,accept
28939,Yeah,accept
28940,Uh huh,accept
28941,Yeah,accept
28942,Uh huh,accept
28943,Sure,accept
28944,Yeah,accept
28945,"Whose husbands have included Conrad Hilton Jr. , and Michael Wilding ?",wh-question
28946,Yes,accept
28947,Uh huh,accept
28948,What 's the highest-ranking suit in bridge ?,wh-question
28949,Right,accept
28950,When is the Jimmy Buffett concert coming to the E center in Camden NJ ?,wh-question
28951,What is `` the soft drink for adults '' ?,wh-question
28952,Uh huh,accept
28953,Yeah,accept
28954,Which two products use a tiger as their symbol ?,wh-question
28955,Yeah,accept
28956,Who retired with 755 home runs to his credit ?,wh-question
28957,Yeah laughter,accept
28958,Yeah,accept
28959,What s it like down there,wh-question
28960,Oh,accept
28961,Uh huh,accept
28962,Yeah,accept
28963,Uh huh,accept
28964,Uh huh,accept
28965,Yeah,accept
28966,Uh huh,accept
28967,Yeah,accept
28968,Yeah,accept
28969,Yeah,accept
28970,Okay,accept
28971,Where do hyenas live ?,wh-question
28972,Yeah,accept
28973,Right,accept
28974,Uh huh,accept
28975,yeah,accept
28976,Uh huh,accept
28977,Uh huh,accept
28978,Yeah,accept
28979,Uh huh,accept
28980,Uh huh,accept
28981,Yeah,accept
28982,Uh huh,accept
28983,Yeah,accept
28984,Oh,accept
28985,How old,wh-question
28986,Complete mowing the lawn.,imperative
28987,What are the major companies that are part of Dow Jones ?,wh-question
28988,Right,accept
28989,Yeah,accept
28990,Yeah cough,accept
28991,I guess so,farewell
28992,Yeah,accept
28993,It was nice talking to you,farewell
28994,Yeah,accept
28995,Very faint Uh huh,accept
28996,Yes,accept
28997,Uh huh,accept
28998,Okay um,accept
28999,Uh huh,accept
29000,Uh huh,accept
29001,Who invented the toothbrush ?,wh-question
29002,yeah,accept
29003,Remember to wash your sheets.,imperative
29004,Yeah,accept
29005,Yeah,accept
29006,Uh huh,accept
29007,yes,accept
29008,Uh huh,accept
29009,yeah,accept
29010,Yeah,accept
29011,Yeah,accept
29012,Yeah,accept
29013,Yeah,accept
29014,Okay,accept
29015,Uh huh,accept
29016,Uh huh,accept
29017,Right,accept
29018,Yeah,accept
29019,Yes,accept
29020,Oh,accept
29021,Uh huh,accept
29022,Yeah,accept
29023,Right,accept
29024,Uh huh,accept
29025,Uh huh,accept
29026,What term does a Czech use to describe a Pole ?,wh-question
29027,Yeah,accept
29028,yes,accept
29029,Yeah,accept
29030,Yeah,accept
29031,Who followed Caesar ?,wh-question
29032,Uh huh,accept
29033,yeah,accept
29034,that is right,accept
29035,Uh huh,accept
29036,Yeah,accept
29037,Uh huh,accept
29038,Boil the turkey in vinegar.,imperative
29039,Yeah,accept
29040,Uh huh,accept
29041,Yeah,accept
29042,Well yeah,accept
29043,Yeah,accept
29044,When was the battle of the Somme fought ?,wh-question
29045,Where can I find a list of all the companies in America that offer a direct stock purchase plan ?,wh-question
29046,Well what s your favorite baseball team Rita,wh-question
29047,All righty,farewell
29048,Uh huh,accept
29049,Uh huh,accept
29050,Oh,accept
29051,Oh yeah,accept
29052,yeah,accept
29053,Yeah,accept
29054,uh huh,accept
29055,What 's the International Lawn Tennis Challenge Trophy usually called ?,wh-question
29056,Do your chores.,imperative
29057,Yeah,accept
29058,What is Ray Bradbury 's illustrated man illustrated with ?,wh-question
29059,Yeah,accept
29060,Huh,accept
29061,Uh huh,accept
29062,Yeah,accept
29063,Right laughter,accept
29064,Well how do you think that would work in grammar schools,wh-question
29065,Oh,accept
29066,Oh why yeah,accept
29067,What is RCD ?,wh-question
29068,Right,accept
29069,Yeah,accept
29070,Bye,farewell
29071,What is the acreage of the Chappellet vineyard ?,wh-question
29072,Yeah,accept
29073,Uh huh,accept
29074,Oh,accept
29075,Uh huh,accept
29076,Put your hand into the bag.,imperative
29077,No laughter,reject
29078,What Cruise Line does Kathie Lee Gifford advertise for ?,wh-question
29079,Yeah,accept
29080,Oh,accept
29081,Yeah,accept
29082,You have a good day,farewell
29083,Yeah,accept
29084,Right,accept
29085,Who did Bobby Fischer beat to win the world chess championship ?,wh-question
29086,Uh huh,accept
29087,Uh huh,accept
29088,Right,accept
29089,Uh huh,accept
29090,How many miles is it from NY to Austria ?,wh-question
29091,Oh yeah,accept
29092,Do not eat in class.,imperative
29093,How many times have you talked,wh-question
29094,What are some colorful flowers that will bloom in the fall in New England ?,wh-question
29095,Yeah,accept
29096,Yeah,accept
29097,Right,accept
29098,Uh huh,accept
29099,Yeah,accept
29100,Uh huh,accept
29101,What woman was Time 's Man of the Year for 1952 ?,wh-question
29102,Uh huh,accept
29103,Yeah,accept
29104,Yeah,accept
29105,Uh huh,accept
29106,Uh huh,accept
29107,Yeah,accept
29108,Yeah,accept
29109,Yeah,accept
29110,Oh,accept
29111,Bye bye,farewell
29112,Oh uh yeah,accept
29113,And let s hope some there are other people that feel the same way laughter,farewell
29114,well it was nice talking to you,farewell
29115,Bye bye,farewell
29116,Uh huh,accept
29117,Which Beatles disc cover honors the Rolling Stones ?,wh-question
29118,Keep your cell phones (or laptops) closed.,imperative
29119,Yeah,accept
29120,Well yeah,accept
29121,Yes,accept
29122,Yeah,accept
29123,Uh huh,accept
29124,Huh uh,accept
29125,Right,accept
29126,Uh huh,accept
29127,Right,accept
29128,What do you mean,wh-question
29129,Uh huh,accept
29130,Laughter,accept
29131,Why is it called `` hamburger '' if there is no ham in it ?,wh-question
29132,What do they think about Texans,wh-question
29133,Yeah,accept
29134,Right,accept
29135,Uh huh,accept
29136,Right,accept
29137,It was good talking to you,farewell
29138,Yeah,accept
29139,What is the best-selling television soundtrack of all time ?,wh-question
29140,Yeah,accept
29141,Oh oh I see,accept
29142,Right,accept
29143,Uh huh,accept
29144,"Which came first , according to Genesis 1 : 2 : 22 - the chicken or the egg ?",wh-question
29145,Yeah,accept
29146,Bye bye,farewell
29147,Oh,accept
29148,Uh huh,accept
29149,Uh huh,accept
29150,Right,accept
29151,Well it s good to talk to you,farewell
29152,"What landmark Italian restaurant can be found at 239 West 48th Street , New York City ?",wh-question
29153,Laurie all right beep,accept
29154,What two South American countries do n't border Brazil ?,wh-question
29155,where would you camp,wh-question
29156,Uh huh,accept
29157,Right,accept
29158,Yeah,accept
29159,Yeah,accept
29160,Uh huh,farewell
29161,Uh huh,accept
29162,Huh uh,accept
29163,Yeah,accept
29164,Yeah,accept
29165,Stop the bus.,imperative
29166,Uh huh,accept
29167,Yeah,accept
29168,Oh,accept
29169,Yeah,accept
29170,Right,accept
29171,Uh,accept
29172,Right,accept
29173,Yeah,farewell
29174,Uh huh,accept
29175,What took first prize in Omni magazine 's contest to find the `` ultimate unanswerable question '' ?,wh-question
29176,Yeah,accept
29177,What line divided the North and South in the U.S. Civil War ?,wh-question
29178,Uh huh,accept
29179,to rent those kind of cars,wh-question
29180,What is your,wh-question
29181,Uh huh,accept
29182,Why didn 't European colonial rule spread until after the first and second industrial revolutions ?,wh-question
29183,uh huh,accept
29184,Right,accept
29185,Oh yeah,accept
29186,uh huh,accept
29187,Okay,accept
29188,Yeah,accept
29189,Uh huh,accept
29190,Paint a big wide smile.,imperative
29191,Yeah,accept
29192,uh huh,accept
29193,Uh huh,accept
29194,Uh huh,accept
29195,Uh huh,accept
29196,Uh huh,accept
29197,Uh huh,accept
29198,Uh huh,accept
29199,Yeah,accept
29200,Yes,accept
29201,Uh let s see,farewell
29202,Sure,accept
29203,Yeah,accept
29204,But uh so what are you asking me,wh-question
29205,Oh okay,accept
29206,Yeah,accept
29207,Uh huh,accept
29208,Uh huh,accept
29209,Uh huh,accept
29210,Um,accept
29211,and I live in Virginia laughter,greeting
29212,What sport do you shag flies in ?,wh-question
29213,Yeah,accept
29214,Yeah,accept
29215,th there s a point on which we don t agree,reject
29216,Uh huh,accept
29217,Oh yeah,accept
29218,yeah,accept
29219,Uh huh,accept
29220,Uh huh,accept
29221,Right,accept
29222,Yeah,accept
29223,Yeah,accept
29224,Right,accept
29225,Yes,accept
29226,Why is poop sometimes different colors ?,wh-question
29227,Uh huh,accept
29228,Uh huh,accept
29229,Uh huh,accept
29230,Right,accept
29231,Right,accept
29232,Right,accept
29233,Oh uh huh,accept
29234,Uh huh,accept
29235,it s taken them ten fifteen minutes at a time,farewell
29236,Uh huh,accept
29237,And what would you do,wh-question
29238,Yeah,accept
29239,Yeah,accept
29240,Yes,accept
29241,What were the achievements of Richard Nixon ?,wh-question
29242,Who directed `` Jaws '' ?,wh-question
29243,Uh huh,accept
29244,Uh huh,accept
29245,Maybe not,accept
29246,Uh huh,accept
29247,uh huh,accept
29248,What is the frequency of VHF ?,wh-question
29249,What city is found in the city of OZ ?,wh-question
29250,Uh huh,accept
29251,Yeah,accept
29252,Uh huh,accept
29253,how come you wouldn t take them to a day care,wh-question
29254,Uh huh,accept
29255,Yeah,accept
29256,Bye bye,farewell
29257,So Frank what uh type of uh budget do you or your family have,wh-question
29258,Uh huh,accept
29259,Uh huh,accept
29260,How old is Britney Spears ?,wh-question
29261,uh huh,accept
29262,"What European country boasts the city of Furth , found where the rivers Rednitz and Pegnitz converge ?",wh-question
29263,Uh huh,accept
29264,Yeah,accept
29265,Uh huh,accept
29266,Right laughter,accept
29267,Uh huh,accept
29268,Yeah,accept
29269,Uh huh,accept
29270,Oh,accept
29271,Uh huh,accept
